"treeID","XTOP","YTOP","ZTOP","z_max","z_sd","i_mean","i_max"
"MLBS00060",542492.266,4136644.618,15.953,15.953,5.21637274438327,123.738683127572,497
"MLBS00061",542485.45,4136651.381,16.752,16.752,5.71189290354285,112.585409252669,554
"MLBS00067",542496.23,4136648.08,16.168,16.168,4.61693965521654,210.831578947368,531
"MLBS00070",542497.022,4136648.371,16.48,16.48,4.68317599945987,165.447488584475,543
"MLBS00072",542503.733,4136645.057,16.077,16.077,5.49407769448586,67.1147540983606,274
"MLBS00073",542504.593,4136643.185,17.326,17.326,6.44040869626069,75.2736842105263,459
"MLBS00074",542503.713,4136649.275,17.22,17.22,6.81794677959026,102.151658767773,441
"MLBS00075",542501.931,4136648.86,17.428,17.428,6.01940581770857,91.056338028169,400
"MLBS00077",542504.111,4136651.765,18.042,18.042,6.54237146247815,139.027692307692,535
"MLBS00078",542493.612,4136656.947,17.131,17.131,5.61296417428237,137.578288100209,554
"MLBS00079",542496.202,4136660.147,19.262,19.262,7.33404386545164,121.007978723404,447
"MLBS00081",542488.945,4136659.948,17.855,17.855,6.01121128350741,134.329230769231,541
"MLBS00082",542485.785,4136660.724,17.216,17.216,5.38915928755443,128.086294416244,541
"MLBS00083",542487.753,4136652.736,15.86,15.86,5.89354738320022,152.208904109589,543
"MLBS00086",542495.297,4136659.363,19.049,19.049,6.65107363338679,118.984771573604,519
"MLBS00087",542499.505,4136659.635,18.079,18.079,6.15858898846271,107.126712328767,479
"MLBS00088",542504.467,4136659.086,18.369,18.369,6.70042264612061,123.001808318264,577
"MLBS00091",542499.365,4136655.421,18.499,18.499,6.78545972183015,159.655555555556,492
"MLBS00094",542498.254,4136653.151,19.337,19.337,6.3100250209146,142.79702970297,551
"MLBS00095",542498.587,4136653.717,19.558,19.558,6.11942090659956,168.888178913738,551
"MLBS00096",542489.642,4136660.476,18.521,18.521,6.6911722964189,153.98679245283,532
"MLBS00100A",542525.529,4136745.561,91.947,91.947,6.75758911656618,125.017326732673,488
"MLBS00103",542529.598,4136751.25,14.537,14.537,5.12407398815613,131.6,605
"MLBS00107",542533.513,4136744.127,16.008,16.008,5.32349454908902,93.9591836734694,429
"MLBS00113",542532.482,4136753.661,15.489,15.489,5.11555052690733,87.5874125874126,463
"MLBS00114",542531.383,4136754.692,16.137,16.137,4.87727071897461,67.190019193858,463
"MLBS00117",542533.747,4136757.232,15.851,15.851,5.29990727336102,107.563106796117,447
"MLBS00128",542530.839,4136757.482,142.462,142.462,11.4728886245954,133.134831460674,480
"MLBS00133",542519.778,4136760.05,17.104,17.104,5.41238184452842,122.145299145299,469
"MLBS00135",542518.255,4136760.602,17.158,17.158,5.56570001526406,77.453125,458
"MLBS00136",542521.888,4136757.304,16.454,16.454,4.8752504237392,84.8852459016394,336
"MLBS00137",542519.841,4136756.902,16.371,16.371,5.19865703478553,93.0350877192982,433
"MLBS00138A",542514.534,4136753.452,16.225,16.225,4.69505866686006,102.197026022305,506
"MLBS00139",542521.729,4136754.736,16.24,16.24,5.3249037734911,91.4471698113207,540
"MLBS001390",542107.965,4136758.199,18.919,18.919,5.56051502169858,116.889248181083,493
"MLBS00143",542522.79,4136748.179,14.435,14.435,4.60958219997455,137.589108910891,586
"MLBS00144",542518.338,4136745.571,18.134,18.134,5.69326761257537,140.840958605664,565
