"bin_1","bin_2","bin_3","bin_4","bin_5","bin_6","bin_7","bin_8","bin_9","bin_10","bin_11","bin_12","bin_13","bin_14","bin_15","bin_16","bin_17","bin_18","bin_19","bin_20","bin_21","bin_22","bin_23","bin_24","bin_25","bin_26","bin_27","bin_28","bin_29","bin_30","bin_31","bin_32","bin_33","bin_34","bin_35","bin_36","bin_37","bin_38","bin_39","numpts","indvdID"
"0.12294336","0.02992275","0.01386277","0.01177584","0.01459272","0.01830980","0.01982867","0.02092710","0.02853469","0.05152291","0.08967983","0.10970288","0.10682480","0.12363239","0.19244156","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000",962,"MLBS00060"
"0.14008691","0.04860202","0.02943836","0.02725889","0.02586353","0.02161825","0.01943495","0.02299927","0.03487077","0.05300513","0.06270211","0.06646694","0.07340129","0.09163528","0.12179228","0.13518611","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000",1112,"MLBS00061"
"0.05852827","0.02294698","0.01476122","0.01322591","0.01415652","0.01780038","0.02437059","0.02751156","0.02502716","0.02907083","0.04544989","0.08421332","0.13741027","0.19296232","0.23088582","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000",282,"MLBS00067"
"0.04688392","0.02144480","0.01524140","0.01621996","0.02112817","0.02543344","0.02321740","0.02341589","0.03434541","0.06291836","0.07131425","0.04826259","0.04407026","0.07531667","0.16316842","0.29338703","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000",216,"MLBS00070"
"0.08553653","0.07483199","0.07599167","0.05716933","0.02761191","0.01625010","0.01423001","0.01826664","0.02855902","0.04363745","0.06797065","0.10493072","0.09543993","0.09274646","0.13992724","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000",120,"MLBS00072"
"0.12916411","0.09873728","0.07797548","0.03944284","0.01984384","0.01465327","0.01474116","0.01499512","0.01401391","0.01275885","0.01409420","0.02065632","0.03850324","0.07586328","0.12762806","0.16337984","0.12131889","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000",282,"MLBS00073"
"0.214410246","0.063872104","0.033195031","0.023885560","0.018808768","0.013843054","0.009532631","0.007601382","0.008163015","0.012401133","0.024685820","0.048507772","0.064998017","0.059140852","0.058539757","0.092774416","0.238921190","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000",208,"MLBS00074"
"0.12517993","0.03886698","0.02010453","0.01827808","0.02045433","0.01881680","0.01486857","0.01308585","0.01315870","0.01515225","0.02136283","0.03355549","0.05285165","0.07837226","0.11888445","0.17974288","0.20817139","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000",210,"MLBS00075"
"0.165961750","0.031278039","0.011182433","0.006463482","0.004543605","0.003670542","0.003385139","0.003958582","0.006099145","0.011933332","0.025935094","0.053525502","0.087126839","0.089109594","0.082622639","0.127616012","0.231872714","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000",321,"MLBS00077"
"0.15370340","0.03567047","0.01655045","0.01484602","0.01699802","0.01608639","0.01495648","0.01738795","0.02688176","0.04190676","0.05133163","0.05998200","0.08375768","0.13714656","0.18187937","0.12451873","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000",1422,"MLBS00078"
"0.197351628","0.051187572","0.019311130","0.007745123","0.003593541","0.002255067","0.001998557","0.002397523","0.003622872","0.007025516","0.016173997","0.034318145","0.054787796","0.068420297","0.079147722","0.097397993","0.133080571","0.167752859","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000",372,"MLBS00079"
"0.161460957","0.027166906","0.008185601","0.004801340","0.004925234","0.007055086","0.010837623","0.015990122","0.026093821","0.046766793","0.069652274","0.078219273","0.079438124","0.091507342","0.113422541","0.113593412","0.097444435","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000",321,"MLBS00081"
"0.156439841","0.025821145","0.007970650","0.005044047","0.005442059","0.007810090","0.011396475","0.017959789","0.034856052","0.067100630","0.095265657","0.102726967","0.098555263","0.119004749","0.115941043","0.075938551","0.041214025","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000",195,"MLBS00082"
"0.17738967","0.03731784","0.01902538","0.01688081","0.01574075","0.01438631","0.01394097","0.01575474","0.01941466","0.02707871","0.03826067","0.06220857","0.10548761","0.17490433","0.21744047","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000",289,"MLBS00083"
"0.167017161","0.042131969","0.015348231","0.007344826","0.004937047","0.004805625","0.006279508","0.009829564","0.015973266","0.026341066","0.038842877","0.053393791","0.068260487","0.079598269","0.088023530","0.094370277","0.115397301","0.121695780","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000",585,"MLBS00086"
"0.12112395","0.03336780","0.01657188","0.01479822","0.01737071","0.01949289","0.01775297","0.01655584","0.01889810","0.02666367","0.03689460","0.04787742","0.06218563","0.07603603","0.09771868","0.13817522","0.18754783","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000",289,"MLBS00087"
"0.180244459","0.038935521","0.014271126","0.008802933","0.007066926","0.006075366","0.005754361","0.006381660","0.008324247","0.012097894","0.018509624","0.028611753","0.046954453","0.071821030","0.083984501","0.105580311","0.150284001","0.206244280","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000",547,"MLBS00088"
"0.2163531042","0.0154170078","0.0021183319","0.0006405230","0.0003977243","0.0004539292","0.0008337319","0.0021042745","0.0059374984","0.0134508820","0.0182837777","0.0251526996","0.0406415349","0.0718186680","0.1239116098","0.1435996624","0.1550734152","0.1480635936","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000",89,"MLBS00091"
"0.153703050","0.039495590","0.016806218","0.010596481","0.008773461","0.009418071","0.012802490","0.018665826","0.026723204","0.036127088","0.044643448","0.046657730","0.051666134","0.077660258","0.132715202","0.153371080","0.114694601","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000",199,"MLBS00094"
"0.130084623","0.034084635","0.013100127","0.007264403","0.005204762","0.004817998","0.005808491","0.008576082","0.014132474","0.023206147","0.033524882","0.043129600","0.055734200","0.075565210","0.108774442","0.131102025","0.133805106","0.104844473","0.060081414","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000",619,"MLBS00095"
"0.202379559","0.025980199","0.006145101","0.002929730","0.002476259","0.003114540","0.004823576","0.007876421","0.012917187","0.021249911","0.033399641","0.044282022","0.049328568","0.057583005","0.083825587","0.133926719","0.159359214","0.135569593","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000",524,"MLBS00096"
"0.13086159","0.04802720","0.02696329","0.02159463","0.01883482","0.01655194","0.01617815","0.01834878","0.02141515","0.02710453","0.03941917","0.05771905","0.07561011","0.09517809","0.11735102","0.11998928","0.09434820","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000",799,"MLBS00100A"
"0.16721565","0.05353632","0.03668159","0.03309821","0.02662681","0.02437197","0.03508770","0.07077900","0.11621359","0.15542215","0.11027502","0.06593315","0.03605766","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000",276,"MLBS00103"
"0.18541851","0.03436519","0.01488893","0.01438168","0.02030410","0.02655904","0.03210274","0.04207241","0.06101001","0.07864387","0.09499745","0.10371959","0.10562457","0.07451003","0.05349458","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000",97,"MLBS00107"
"0.15384002","0.04242186","0.02876946","0.04176547","0.05962893","0.06833620","0.06240212","0.05357598","0.03811324","0.03459206","0.04719175","0.07113561","0.09380722","0.09715103","0.09723737","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000",141,"MLBS00113"
"0.10635420","0.04210272","0.02897106","0.03133972","0.03624083","0.03890610","0.04763326","0.05951632","0.06236806","0.06741488","0.08053589","0.09408915","0.09641947","0.08773233","0.06896259","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000",515,"MLBS00114"
"0.08852991","0.05145383","0.05456110","0.07220723","0.06050100","0.04406835","0.03908117","0.03220042","0.02766500","0.02996597","0.04671710","0.08222726","0.09267398","0.10391296","0.13651342","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000",101,"MLBS00117"
"0.090491591","0.060188579","0.063287321","0.073228499","0.050434253","0.023448549","0.011271546","0.008167957","0.009917010","0.017615908","0.035063812","0.062268094","0.097536474","0.121970235","0.152186940","0.108934202","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000",176,"MLBS00128"
"0.139219578","0.038913485","0.014661802","0.007107172","0.004877318","0.005191782","0.008134728","0.016031481","0.031539979","0.053220455","0.079464019","0.085907405","0.108243235","0.153013591","0.145885670","0.073257298","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000",347,"MLBS00133"
"0.14352047","0.04218098","0.01825335","0.01186060","0.01109036","0.01338315","0.01999605","0.03261565","0.04994123","0.07235578","0.08553451","0.08734883","0.09069580","0.09648029","0.09082968","0.07514510","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000",443,"MLBS00135"
"0.03465895","0.03434979","0.04264991","0.04408758","0.02769878","0.01859485","0.01863221","0.02718381","0.04694182","0.06330252","0.06616029","0.06825564","0.07155388","0.08622633","0.11984474","0.20511185","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000",181,"MLBS00136"
